variable,Baseline HR,Completed distance (m),Recovery HR,Peak HR
TC,"-0.14 	(-0.42, 0.15)","-0.05 	(-0.10, 0.00)","-0.45 	(-0.78, -0.12)","0.22 	(0.03, 0.40)"
TG,"0.22 	(-0.58, 1.01)","-0.05 	(-0.20, 0.10)","-0.40 	(-1.42, 0.61)","0.33 	(-0.20, 0.85)"
HDLc,"-0.03 	(-0.10, 0.03)","-0.00 	(-0.01, 0.01)","-0.02 	(-0.11, 0.07)","0.03 	(-0.02, 0.07)"
LDLc,"-0.15 	(-0.40, 0.11)","-0.02 	(-0.07, 0.03)","-0.21 	(-0.53, 0.10)","0.17 	(0.00, 0.34)"
ApoA1,"0.02 	(-0.17, 0.21)","-0.01 	(-0.04, 0.02)","-0.00 	(-0.22, 0.22)","0.05 	(-0.07, 0.17)"
ApoB,"0.05 	(-0.18, 0.29)","-0.01 	(-0.05, 0.02)","-0.29 	(-0.51, -0.06)","0.10 	(-0.03, 0.22)"
hsCRP,"0.05 	(0.03, 0.08)","-0.00 	(-0.01, 0.00)","-0.00 	(-0.03, 0.02)","0.00 	(-0.01, 0.02)"
Insulin,"0.14 	(0.07, 0.20)","-0.01 	(-0.03, 0.00)","-0.09 	(-0.16, -0.02)","0.03 	(-0.01, 0.07)"
Glucose,"0.25 	(0.07, 0.43)","-0.02 	(-0.05, 0.01)","0.01 	(-0.20, 0.22)","0.11 	(-0.01, 0.22)"
NEFA,"0.01 	(0.00, 0.01)","0.00 	(-0.00, 0.00)","0.00 	(-0.00, 0.01)","0.00 	(-0.00, 0.00)"
IL10,"2.05 	(-1.20, 5.30)","-0.06 	(-0.57, 0.44)","-0.05 	(-2.98, 2.88)","-0.00 	(-1.41, 1.40)"
Adiponectin,"-79.26 	(-143.16, -15.37)","-0.56 	(-10.95, 9.83)","-11.62 	(-99.11, 75.87)","3.05 	(-38.10, 44.20)"
Leptin,"18.13 	(-44.60, 80.85)","-7.55 	(-17.73, 2.63)","27.75 	(-32.08, 87.58)","29.75 	(-14.80, 74.29)"
TNFsR,"-5.81 	(-21.91, 10.29)","-0.78 	(-3.08, 1.51)","-9.31 	(-23.58, 4.97)","3.74 	(-6.84, 14.33)"
Resistin,"18.12 	(-9.47, 45.72)","3.10 	(-2.48, 8.68)","6.07 	(-30.03, 42.18)","-8.16 	(-24.76, 8.45)"
fast.PC1,"-0.00 	(-0.01, 0.00)","0.00 	(-0.00, 0.00)","0.01 	(-0.00, 0.02)","-0.00 	(-0.01, 0.00)"
fast.PC2,"0.02 	(0.01, 0.03)","-0.00 	(-0.00, 0.00)","-0.01 	(-0.02, 0.00)","0.01 	(-0.00, 0.01)"
fast.PC3,"0.01 	(-0.00, 0.01)","-0.00 	(-0.00, 0.00)","0.00 	(-0.01, 0.01)","-0.00 	(-0.01, 0.00)"
adsbp,"0.23 	(0.09, 0.38)","0.00 	(-0.02, 0.03)","-0.10 	(-0.26, 0.06)","0.02 	(-0.06, 0.11)"
addbp,"0.23 	(0.16, 0.31)","0.01 	(-0.01, 0.02)","-0.09 	(-0.18, -0.01)","0.01 	(-0.04, 0.05)"
c_aix,"-0.17 	(-0.24, -0.09)","0.01 	(-0.00, 0.02)","-0.11 	(-0.19, -0.02)","-0.01 	(-0.05, 0.03)"
c_aixhr75,"0.28 	(0.21, 0.35)","0.01 	(-0.01, 0.02)","-0.11 	(-0.20, -0.03)","-0.01 	(-0.05, 0.04)"
pwv,"0.03 	(0.02, 0.04)","-0.00 	(-0.00, 0.00)","-0.00 	(-0.02, 0.01)","-0.00 	(-0.01, 0.00)"
